"filename", "language", "TypeScript", "GLSL", "JSON", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_encourage_2.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_encourage_3.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_goodbye.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_greet_familiar.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_inform_intro.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_intro.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_part_ways.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_end.json", "JSON", 0, 0, 12, 0, 0, 12
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_1.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_2.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_3.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_start.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_convert.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_goodbye_polite.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_familiar.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_generic.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_stranger.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_initial_bye.json", "JSON", 0, 0, -9, 0, 0, -9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_initial_greeting.json", "JSON", 0, 0, -9, 0, 0, -9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_intro_formal.json", "JSON", 0, 0, 5, 0, 0, 5
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_intro_informal.json", "JSON", 0, 0, 5, 0, 0, 5
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_introduction.json", "JSON", 0, 0, -11, 0, 0, -11
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_notalk.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_smalltalk_compliment.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_smalltalk_remark.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_special\player_seed_by_faith.json", "JSON", 0, 0, 97, 0, 0, 97
"d:\GFF Online\gff-online\src\assets\json\blurb_special\saint_inform_tares.json", "JSON", 0, 0, 30, 0, 0, 30
"d:\GFF Online\gff-online\src\assets\json\blurb_special\saint_inform_wheat.json", "JSON", 0, 0, 30, 0, 0, 30
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_goodbye_by_faith.json", "JSON", 0, 0, 102, 0, 0, 102
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_hear_sermon_by_faith.json", "JSON", 0, 0, 60, 0, 0, 60
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_respond_by_faith.json", "JSON", 0, 0, 112, 0, 0, 112
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_smalltalk_god_by_faith.json", "JSON", 0, 0, 72, 0, 0, 72
"d:\GFF Online\gff-online\src\assets\json\books_info.json", "JSON", 0, 0, 132, 0, 0, 132
"d:\GFF Online\gff-online\src\assets\json\conversations\_church_sermon_template.json", "JSON", 0, 0, -73, 0, -1, -74
"d:\GFF Online\gff-online\src\assets\json\conversations\arrival_agent_conv.json", "JSON", 0, 0, 8, 0, 1, 9
"d:\GFF Online\gff-online\src\assets\json\conversations\cheat_conv.json", "JSON", 0, 0, 102, 0, 0, 102
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermon_test.json", "JSON", 0, 0, -73, 0, -1, -74
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermons\_church_sermon_template.json", "JSON", 0, 0, 73, 0, 1, 74
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermons\church_sermon_love_of_god.json", "JSON", 0, 0, 88, 0, 1, 89
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermons\church_sermon_patience.json", "JSON", 0, 0, 73, 0, 1, 74
"d:\GFF Online\gff-online\src\assets\json\conversations\convert_conv.json", "JSON", 0, 0, 22, 0, 0, 22
"d:\GFF Online\gff-online\src\assets\json\conversations\encourage_conv.json", "JSON", 0, 0, 31, 0, 0, 31
"d:\GFF Online\gff-online\src\assets\json\conversations\latest_update_intro.json", "JSON", 0, 0, 393, 0, 0, 393
"d:\GFF Online\gff-online\src\assets\json\conversations\latest_update_intro_original.json", "JSON", 0, 0, 109, 0, 1, 110
"d:\GFF Online\gff-online\src\assets\json\conversations\notalk_to_sinner_conv.json", "JSON", 0, 0, 28, 0, 1, 29
"d:\GFF Online\gff-online\src\assets\json\conversations\play_piano.json", "JSON", 0, 0, 46, 0, 1, 47
