Date : 2025-11-15 21:41:28
Directory : d:\GFF Online\gff-online\src
Total : 151 files,  8736 codes, 1040 comments, 1015 blanks, all 10791 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\books.ts                                                       | TypeScript |         10 |          1 |          3 |         14 |
| d:\GFF Online\gff-online\src\colors.ts                                                      | TypeScript |         53 |          5 |         13 |         71 |
| d:\GFF Online\gff-online\src\console.ts                                                     | TypeScript |        417 |         15 |         14 |        446 |
| d:\GFF Online\gff-online\src\cutscenes\GCutscene.ts                                         | TypeScript |         10 |          3 |          1 |         14 |
| d:\GFF Online\gff-online\src\cutscenes\GOpeningCutscene.ts                                  | TypeScript |        554 |         93 |         76 |        723 |
| d:\GFF Online\gff-online\src\cutscenes\GQuickTravelCutscene.ts                              | TypeScript |          4 |          0 |          0 |          4 |
| d:\GFF Online\gff-online\src\cutscenes\GRaiseStandardCutscene.ts                            | TypeScript |         -2 |          0 |          0 |         -2 |
| d:\GFF Online\gff-online\src\cutscenes\GReleaseCaptiveCutscene.ts                           | TypeScript |        121 |         17 |         16 |        154 |
| d:\GFF Online\gff-online\src\cutscenes\GStairsCutscene.ts                                   | TypeScript |        130 |         29 |         27 |        186 |
| d:\GFF Online\gff-online\src\depths.ts                                                      | TypeScript |          3 |          0 |          3 |          6 |
| d:\GFF Online\gff-online\src\direction.ts                                                   | TypeScript |         30 |          0 |          3 |         33 |
| d:\GFF Online\gff-online\src\districts\GBusinessDistrict.ts                                 | TypeScript |         60 |         12 |          7 |         79 |
| d:\GFF Online\gff-online\src\districts\GCityResDiverseDistrict.ts                           | TypeScript |         41 |          9 |          6 |         56 |
| d:\GFF Online\gff-online\src\districts\GCityResMonoDistrict.ts                              | TypeScript |         60 |         15 |         11 |         86 |
| d:\GFF Online\gff-online\src\districts\GMixedDistrict.ts                                    | TypeScript |         80 |          9 |          7 |         96 |
| d:\GFF Online\gff-online\src\districts\GSuburbResDiverseDistrict.ts                         | TypeScript |         40 |          8 |          7 |         55 |
| d:\GFF Online\gff-online\src\districts\GSuburbResMonoDistrict.ts                            | TypeScript |         56 |         14 |         11 |         81 |
| d:\GFF Online\gff-online\src\districts\GTownDistrict.ts                                     | TypeScript |        188 |         73 |         46 |        307 |
| d:\GFF Online\gff-online\src\effects.ts                                                     | TypeScript |        117 |          0 |          0 |        117 |
| d:\GFF Online\gff-online\src\enemy.ts                                                       | TypeScript |         67 |          0 |          3 |         70 |
| d:\GFF Online\gff-online\src\game_modes\GBattleMode.ts                                      | TypeScript |          7 |          0 |          2 |          9 |
