"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\assets\json\conversations\latest_update_intro_original.json", "JSON", 0, -109, 0, -1, -110
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_1_conv.json", "JSON", 0, 142, 0, 1, 143
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_2_conv.json", "JSON", 0, 16, 0, 1, 17
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_3_conv.json", "JSON", 0, 13, 0, 1, 14
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_4_conv.json", "JSON", 0, 8, 0, 1, 9
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_5_conv.json", "JSON", 0, 8, 0, 1, 9
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_6_conv.json", "JSON", 0, 71, 0, 1, 72
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_7_conv.json", "JSON", 0, 8, 0, 1, 9
"d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_8_conv.json", "JSON", 0, 92, 0, 1, 93
"d:\GFF Online\gff-online\src\assets\json\conversations\player_proclaim_liberty.json", "JSON", 0, 9, 0, 1, 10
"d:\GFF Online\gff-online\src\assets\json\conversations\rescue_conv.json", "JSON", 0, 22, 0, 0, 22
"d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_prisoner_conv.json", "JSON", 0, 48, 0, 1, 49
"d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_prophet_conv.json", "JSON", 0, 104, 0, 1, 105
"d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_released_conv.json", "JSON", 0, 28, 0, 1, 29
"d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_saint_conv.json", "JSON", 0, 144, 0, 0, 144
"d:\GFF Online\gff-online\src\assets\json\focus_scripture.json", "JSON", 0, 335, 0, 0, 335
"d:\GFF Online\gff-online\src\assets\json\glossary_info.json", "JSON", 0, 70, 0, 0, 70
"d:\GFF Online\gff-online\src\assets\scenery-manifest.json", "JSON", 0, 1, 0, 0, 1
"d:\GFF Online\gff-online\src\assets\sprite-manifest.json", "JSON", 0, 53, 0, 0, 53
"d:\GFF Online\gff-online\src\bible.ts", "TypeScript", 36, 0, 4, 11, 51
"d:\GFF Online\gff-online\src\books.ts", "TypeScript", 10, 0, 1, 3, 14
"d:\GFF Online\gff-online\src\colors.ts", "TypeScript", 53, 0, 5, 13, 71
"d:\GFF Online\gff-online\src\console.ts", "TypeScript", 417, 0, 15, 14, 446
"d:\GFF Online\gff-online\src\cutscenes\GCutscene.ts", "TypeScript", 10, 0, 3, 1, 14
"d:\GFF Online\gff-online\src\cutscenes\GOpeningCutscene.ts", "TypeScript", 554, 0, 93, 76, 723
"d:\GFF Online\gff-online\src\cutscenes\GQuickTravelCutscene.ts", "TypeScript", 4, 0, 0, 0, 4
"d:\GFF Online\gff-online\src\cutscenes\GRaiseStandardCutscene.ts", "TypeScript", -2, 0, 0, 0, -2
"d:\GFF Online\gff-online\src\cutscenes\GReleaseCaptiveCutscene.ts", "TypeScript", 121, 0, 17, 16, 154
"d:\GFF Online\gff-online\src\cutscenes\GStairsCutscene.ts", "TypeScript", 130, 0, 29, 27, 186
"d:\GFF Online\gff-online\src\depths.ts", "TypeScript", 3, 0, 0, 3, 6
"d:\GFF Online\gff-online\src\direction.ts", "TypeScript", 30, 0, 0, 3, 33
"d:\GFF Online\gff-online\src\districts\GBusinessDistrict.ts", "TypeScript", 60, 0, 12, 7, 79
"d:\GFF Online\gff-online\src\districts\GCityResDiverseDistrict.ts", "TypeScript", 41, 0, 9, 6, 56
"d:\GFF Online\gff-online\src\districts\GCityResMonoDistrict.ts", "TypeScript", 60, 0, 15, 11, 86
"d:\GFF Online\gff-online\src\districts\GMixedDistrict.ts", "TypeScript", 80, 0, 9, 7, 96
"d:\GFF Online\gff-online\src\districts\GSuburbResDiverseDistrict.ts", "TypeScript", 40, 0, 8, 7, 55
"d:\GFF Online\gff-online\src\districts\GSuburbResMonoDistrict.ts", "TypeScript", 56, 0, 14, 11, 81
"d:\GFF Online\gff-online\src\districts\GTownDistrict.ts", "TypeScript", 188, 0, 73, 46, 307
"d:\GFF Online\gff-online\src\effects.ts", "TypeScript", 117, 0, 0, 0, 117
"d:\GFF Online\gff-online\src\enemy.ts", "TypeScript", 67, 0, 0, 3, 70
"d:\GFF Online\gff-online\src\game_modes\GBattleMode.ts", "TypeScript", 7, 0, 0, 2, 9
"d:\GFF Online\gff-online\src\goals\GFacePlayerGoal.ts", "TypeScript", 15, 0, 2, 5, 22
"d:\GFF Online\gff-online\src\goals\GPrayForAdamGoal.ts", "TypeScript", 29, 0, 6, 6, 41
"d:\GFF Online\gff-online\src\keys.ts", "TypeScript", 15, 0, 0, -5, 10
"d:\GFF Online\gff-online\src\main.ts", "TypeScript", 11, 0, 2, -1, 12
"d:\GFF Online\gff-online\src\number.ts", "TypeScript", 18, 0, 4, 2, 24
"d:\GFF Online\gff-online\src\objects\chars\GCharSprite.ts", "TypeScript", 14, 0, 0, 1, 15
"d:\GFF Online\gff-online\src\objects\chars\GDevilSprite.ts", "TypeScript", 64, 0, 4, 11, 79
"d:\GFF Online\gff-online\src\objects\chars\GEnemySprite.ts", "TypeScript", 93, 0, 9, 17, 119
"d:\GFF Online\gff-online\src\objects\chars\GImpSprite.ts", "TypeScript", -64, 0, -9, -9, -82
"d:\GFF Online\gff-online\src\objects\chars\GPersonSprite.ts", "TypeScript", 56, 0, 3, 6, 65
"d:\GFF Online\gff-online\src\objects\chars\GPlayerSprite.ts", "TypeScript", 3, 0, 0, 0, 3
"d:\GFF Online\gff-online\src\objects\chars\GProphetSprite.ts", "TypeScript", 93, 0, 4, 11, 108
"d:\GFF Online\gff-online\src\objects\chars\GTravelAgentSprite.ts", "TypeScript", 2, 0, 0, 0, 2
"d:\GFF Online\gff-online\src\objects\components\GMenuCheckOption.ts", "TypeScript", 64, 0, 2, 15, 81
"d:\GFF Online\gff-online\src\objects\components\GMenuRadioGroup.ts", "TypeScript", 25, 0, 7, 7, 39
"d:\GFF Online\gff-online\src\objects\components\GMenuRadioOption.ts", "TypeScript", 69, 0, 2, 16, 87
"d:\GFF Online\gff-online\src\objects\components\GMenuSection.ts", "TypeScript", 75, 0, 12, 18, 105
"d:\GFF Online\gff-online\src\objects\components\GMenuTextOption.ts", "TypeScript", 60, 0, 6, 14, 80
"d:\GFF Online\gff-online\src\objects\components\GPopup.ts", "TypeScript", 226, 0, 32, 34, 292
"d:\GFF Online\gff-online\src\objects\components\GTestConsole.ts", "TypeScript", 85, 0, 6, 14, 105
"d:\GFF Online\gff-online\src\objects\decorations\GBackgroundDecoration.ts", "TypeScript", 2, 0, 2, 0, 4
"d:\GFF Online\gff-online\src\objects\decorations\GCorruptionPatch.ts", "TypeScript", 31, 0, 4, 4, 39
"d:\GFF Online\gff-online\src\objects\decorations\GForegroundDecoration.ts", "TypeScript", 0, 0, 4, 0, 4
"d:\GFF Online\gff-online\src\objects\decorations\GOverheadAnimatedDecoration.ts", "TypeScript", 36, 0, 7, 8, 51
"d:\GFF Online\gff-online\src\objects\decorations\GOverheadDecoration.ts", "TypeScript", 21, 0, 14, 6, 41
"d:\GFF Online\gff-online\src\objects\obstacles\GDevilStatue.ts", "TypeScript", 30, 0, 2, 5, 37
"d:\GFF Online\gff-online\src\objects\obstacles\GObstacleStatic.ts", "TypeScript", 0, 0, 2, 1, 3
"d:\GFF Online\gff-online\src\objects\obstacles\GSpiritTravelAgency.ts", "TypeScript", 14, 0, 1, 5, 20
"d:\GFF Online\gff-online\src\objects\obstacles\GTravelAgency.ts", "TypeScript", -14, 0, -1, -5, -20
"d:\GFF Online\gff-online\src\objects\touchables\GCellLockedDoor.ts", "TypeScript", 47, 0, 8, 12, 67
