"filename", "language", "TypeScript", "PostCSS", "JSON", "HTML", "GLSL", "XML", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_inform_intro.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_intro.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_part_ways.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_end.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_1.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_2.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_pray_3.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_prayer_start.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_convert.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_goodbye_polite.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_familiar.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_generic.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_greet_stranger.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_intro_formal.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_intro_informal.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_notalk.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_smalltalk_compliment.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_smalltalk_remark.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_special\player_seed_by_faith.json", "JSON", 0, 0, 97, 0, 0, 0, 0, 0, 97
"d:\GFF Online\gff-online\src\assets\json\blurb_special\saint_inform_tares.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\GFF Online\gff-online\src\assets\json\blurb_special\saint_inform_wheat.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_goodbye_by_faith.json", "JSON", 0, 0, 102, 0, 0, 0, 0, 0, 102
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_hear_sermon_by_faith.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 60
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_respond_by_faith.json", "JSON", 0, 0, 112, 0, 0, 0, 0, 0, 112
"d:\GFF Online\gff-online\src\assets\json\blurb_special\sinner_smalltalk_god_by_faith.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 0, 72
"d:\GFF Online\gff-online\src\assets\json\books_info.json", "JSON", 0, 0, 464, 0, 0, 0, 0, 0, 464
"d:\GFF Online\gff-online\src\assets\json\conversations\_duo_template.json", "JSON", 0, 0, 81, 0, 0, 0, 0, 1, 82
"d:\GFF Online\gff-online\src\assets\json\conversations\_solo_template.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 1, 72
"d:\GFF Online\gff-online\src\assets\json\conversations\arrival_agent_conv.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\GFF Online\gff-online\src\assets\json\conversations\choice_test_conv.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 1, 47
"d:\GFF Online\gff-online\src\assets\json\conversations\christmas.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermons\_church_sermon_template.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 1, 74
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermons\church_sermon_love_of_god.json", "JSON", 0, 0, 88, 0, 0, 0, 0, 1, 89
