"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\assets\json\conversations\choice_test_conv.json", "JSON", 0, 46, 0, 0, 0, 0, 1, 47
"d:\GFF Online\gff-online\src\assets\json\conversations\christmas.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"d:\GFF Online\gff-online\src\assets\json\conversations\church_sermon_test.json", "JSON", 0, 73, 0, 0, 0, 0, 1, 74
"d:\GFF Online\gff-online\src\assets\json\conversations\duo_test_conv.json", "JSON", 0, 43, 0, 0, 0, 0, 1, 44
"d:\GFF Online\gff-online\src\assets\json\conversations\dynamic_test_conv.json", "JSON", 0, 43, 0, 0, 0, 0, 1, 44
"d:\GFF Online\gff-online\src\assets\json\conversations\solo_test_conv.json", "JSON", 0, 65, 0, 0, 0, 0, 1, 66
"d:\GFF Online\gff-online\src\assets\json\glossary_info.json", "JSON", 0, 130, 0, 0, 0, 0, 0, 130
"d:\GFF Online\gff-online\src\assets\json\names\enemy_names.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 22
"d:\GFF Online\gff-online\src\assets\json\names\f_african_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_arabian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_asian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_common_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_european_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_indian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\f_latino_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_african_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_arabian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_asian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_common_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_european_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_indian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\m_latino_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_african_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_arabian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_asian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_common_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_european_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_indian_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\names\s_latino_names.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_1.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 20
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_2.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 26
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_3.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_4.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 38
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_5.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 20
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_6.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_7.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 50
"d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_8.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 32
"d:\GFF Online\gff-online\src\assets\sprite-manifest.json", "JSON", 0, 4077, 0, 0, 0, 0, 0, 4077
"d:\GFF Online\gff-online\src\assets\text-manifest.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 37
"d:\GFF Online\gff-online\src\assets\xml\kjv.xml", "XML", 0, 0, 0, 0, 33624, 0, 0, 33624
"d:\GFF Online\gff-online\src\assets\xml\schema.xsd", "XML", 0, 0, 0, 0, 48, 0, 0, 48
"d:\GFF Online\gff-online\src\bible.ts", "TypeScript", 37, 0, 0, 0, 0, 10, 14, 61
"d:\GFF Online\gff-online\src\books.ts", "TypeScript", 58, 0, 0, 0, 0, 3, 18, 79
"d:\GFF Online\gff-online\src\church.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\GFF Online\gff-online\src\colors.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"d:\GFF Online\gff-online\src\commandments.ts", "TypeScript", 34, 0, 0, 0, 0, 1, 11, 46
"d:\GFF Online\gff-online\src\depths.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 12, 30
"d:\GFF Online\gff-online\src\enemy.ts", "TypeScript", 71, 0, 0, 0, 0, 7, 18, 96
"d:\GFF Online\gff-online\src\game_modes\GAdventureMode.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"d:\GFF Online\gff-online\src\game_modes\GBaseGameMode.ts", "TypeScript", 81, 0, 0, 0, 0, 8, 19, 108
"d:\GFF Online\gff-online\src\game_modes\GBattleMode.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 5, 21
"d:\GFF Online\gff-online\src\game_modes\GBibleMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GBooksMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GGlossaryMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GMainMenuMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GMapMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GOptionsMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GPeopleMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GStatsMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GStatusMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GTitleMode.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\GFF Online\gff-online\src\game_modes\GWorldBuildMode.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\GFF Online\gff-online\src\glossary.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"d:\GFF Online\gff-online\src\goals\GChasePlayerGoal.ts", "TypeScript", 23, 0, 0, 0, 0, 4, 4, 31
"d:\GFF Online\gff-online\src\goals\GGoal.ts", "TypeScript", 139, 0, 0, 0, 0, 16, 28, 183
"d:\GFF Online\gff-online\src\goals\GRejoiceGoal.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 6, 25
"d:\GFF Online\gff-online\src\goals\GRestGoal.ts", "TypeScript", 17, 0, 0, 0, 0, 7, 6, 30
"d:\GFF Online\gff-online\src\goals\GSearchForPlayerGoal.ts", "TypeScript", 45, 0, 0, 0, 0, 2, 9, 56
"d:\GFF Online\gff-online\src\goals\GSpawnImpGoal.ts", "TypeScript", 28, 0, 0, 0, 0, 8, 8, 44
"d:\GFF Online\gff-online\src\goals\GWalkToPointGoal.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 5, 30
"d:\GFF Online\gff-online\src\index.html", "HTML", 0, 0, 0, 12, 0, 0, 3, 15
"d:\GFF Online\gff-online\src\main.ts", "TypeScript", 200, 0, 0, 0, 0, 11, 24, 235
"d:\GFF Online\gff-online\src\objects\GChoiceBubble.ts", "TypeScript", 158, 0, 0, 0, 0, 31, 38, 227
"d:\GFF Online\gff-online\src\objects\GSpeechBubble.ts", "TypeScript", 234, 0, 0, 0, 0, 41, 52, 327
"d:\GFF Online\gff-online\src\objects\GThoughtBubble.ts", "TypeScript", 310, 0, 0, 0, 0, 47, 69, 426
"d:\GFF Online\gff-online\src\objects\GTreasureChest.ts", "TypeScript", 90, 0, 0, 0, 0, 2, 9, 101
"d:\GFF Online\gff-online\src\objects\chars\GCharSprite.ts", "TypeScript", 282, 0, 0, 0, 0, 20, 54, 356
"d:\GFF Online\gff-online\src\objects\chars\GImpSprite.ts", "TypeScript", 69, 0, 0, 0, 0, 5, 14, 88
"d:\GFF Online\gff-online\src\objects\chars\GPersonSprite.ts", "TypeScript", 117, 0, 0, 0, 0, 11, 20, 148
"d:\GFF Online\gff-online\src\objects\chars\GPlayerSprite.ts", "TypeScript", 66, 0, 0, 0, 0, 11, 16, 93
"d:\GFF Online\gff-online\src\objects\components\GCheckBox.ts", "TypeScript", 100, 0, 0, 0, 0, 5, 20, 125
"d:\GFF Online\gff-online\src\objects\components\GDistributionContainer.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 4, 52
"d:\GFF Online\gff-online\src\objects\components\GDynamicPositioner.ts", "TypeScript", 72, 0, 0, 0, 0, 15, 8, 95
"d:\GFF Online\gff-online\src\objects\components\GIconBarButton.ts", "TypeScript", 97, 0, 0, 0, 0, 19, 17, 133
"d:\GFF Online\gff-online\src\objects\components\GNumberEntry.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 12, 64
"d:\GFF Online\gff-online\src\objects\components\GOptionWheel.ts", "TypeScript", 135, 0, 0, 0, 0, 10, 28, 173
"d:\GFF Online\gff-online\src\objects\components\GPopup.ts", "TypeScript", 246, 0, 0, 0, 0, 44, 41, 331
