Date : 2024-12-17 16:36:51
Directory : d:\GFF Online\gff-online\src
Total : 164 files,  49918 codes, 1023 comments, 1742 blanks, all 52683 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\main.ts                                                 | TypeScript |        200 |         11 |         24 |        235 |
| d:\GFF Online\gff-online\src\objects\GChoiceBubble.ts                                | TypeScript |        158 |         31 |         38 |        227 |
| d:\GFF Online\gff-online\src\objects\GSpeechBubble.ts                                | TypeScript |        234 |         41 |         52 |        327 |
| d:\GFF Online\gff-online\src\objects\GThoughtBubble.ts                               | TypeScript |        310 |         47 |         69 |        426 |
| d:\GFF Online\gff-online\src\objects\GTreasureChest.ts                               | TypeScript |         90 |          2 |          9 |        101 |
| d:\GFF Online\gff-online\src\objects\chars\GCharSprite.ts                            | TypeScript |        282 |         20 |         54 |        356 |
| d:\GFF Online\gff-online\src\objects\chars\GImpSprite.ts                             | TypeScript |         69 |          5 |         14 |         88 |
| d:\GFF Online\gff-online\src\objects\chars\GPersonSprite.ts                          | TypeScript |        117 |         11 |         20 |        148 |
| d:\GFF Online\gff-online\src\objects\chars\GPlayerSprite.ts                          | TypeScript |         66 |         11 |         16 |         93 |
| d:\GFF Online\gff-online\src\objects\components\GCheckBox.ts                         | TypeScript |        100 |          5 |         20 |        125 |
| d:\GFF Online\gff-online\src\objects\components\GDistributionContainer.ts            | TypeScript |         48 |          0 |          4 |         52 |
| d:\GFF Online\gff-online\src\objects\components\GDynamicPositioner.ts                | TypeScript |         72 |         15 |          8 |         95 |
| d:\GFF Online\gff-online\src\objects\components\GIconBarButton.ts                    | TypeScript |         97 |         19 |         17 |        133 |
| d:\GFF Online\gff-online\src\objects\components\GNumberEntry.ts                      | TypeScript |         52 |          0 |         12 |         64 |
| d:\GFF Online\gff-online\src\objects\components\GOptionWheel.ts                      | TypeScript |        135 |         10 |         28 |        173 |
| d:\GFF Online\gff-online\src\objects\components\GPopup.ts                            | TypeScript |        246 |         44 |         41 |        331 |
| d:\GFF Online\gff-online\src\objects\components\GTextButton.ts                       | TypeScript |         67 |          6 |         16 |         89 |
| d:\GFF Online\gff-online\src\objects\components\GTextEntryControl.ts                 | TypeScript |          3 |          0 |          0 |          3 |
| d:\GFF Online\gff-online\src\objects\decorations\GBackgroundDecoration.ts            | TypeScript |         17 |         13 |          5 |         35 |
